,City,Country,Date,Latitude,Longitude,Max temperature,Humidity,Cloudiness,Wind Speed
0,Serang,ID,1638054421,-6.1149,106.1502,74.97,87,100,7.43
1,Atuona,PF,1638054408,-9.8,-139.0333,78.84,72,37,19.89
2,Hermanus,ZA,1638054323,-34.4187,19.2345,64.4,81,31,17.36
3,Hobart,AU,1638054384,-42.8794,147.3294,62.46,55,20,9.22
4,Port Keats,AU,1638054422,-14.25,129.55,86.05,53,100,3.71
5,George Town,MY,1638054391,5.4112,100.3354,76.93,94,20,0.0
6,Nikolskoye,RU,1638054328,59.7035,30.7861,28.29,93,100,12.97
7,Great Yarmouth,GB,1638054423,52.6083,1.7305,43.05,87,98,29.84
8,East London,ZA,1638054402,-33.0153,27.9116,64.51,94,36,4.81
9,Airai,TL,1638054424,-8.9266,125.4092,66.13,81,99,0.74
10,Bengkulu,ID,1638054424,-3.8004,102.2655,76.15,88,100,4.07
11,Yellowknife,CA,1638054362,62.456,-114.3525,-6.61,93,25,5.37
12,Barrow,US,1638054346,71.2906,-156.7887,-12.98,70,20,0.0
13,Lebu,CL,1638054425,-37.6167,-73.65,54.5,77,1,17.94
14,Alta Floresta,BR,1638054427,-9.8756,-56.0861,72.99,95,79,3.36
15,Moerai,PF,1638054427,-22.4333,-151.3333,77.99,79,99,14.41
16,Hay River,CA,1638054428,60.8156,-115.7999,-1.55,92,38,2.42
17,Mataura,NZ,1638054325,-46.1927,168.8643,63.63,38,47,0.4
18,Provideniya,RU,1638054397,64.3833,-173.3,-4.95,84,10,5.68
19,Rikitea,PF,1638054331,-23.1203,-134.9692,76.32,77,11,15.14
20,Kapaa,US,1638054329,22.0752,-159.319,82.38,57,40,14.97
21,Yining,CN,1638054429,29.0361,114.5636,44.85,85,8,0.94
22,Jamestown,US,1638054308,42.097,-79.2353,31.59,86,90,6.91
23,Qaanaaq,GL,1638054336,77.484,-69.3632,1.0,97,100,1.25
24,Oodweyne,SO,1638054430,9.4092,45.064,71.38,47,96,9.78
25,Puerto Ayora,EC,1638054334,-0.7393,-90.3518,70.75,76,80,10.6
26,Punta Arenas,CL,1638054348,-53.15,-70.9167,51.91,62,75,6.91
27,Ayagoz,KZ,1638054350,47.9714,80.4392,0.01,79,2,4.74
28,Alice Springs,AU,1638054431,-23.7,133.8833,71.15,30,1,10.36
29,Emilio Carranza,MX,1638054432,19.9711,-96.6114,71.06,83,66,3.15
30,Shingū,JP,1638054369,33.7333,135.9833,47.39,69,1,4.63
31,Vaini,TO,1638054332,-21.2,-175.2,84.36,84,75,11.5
32,Weihe,CN,1638054433,32.9952,105.3247,41.68,95,100,2.13
33,Portland,US,1638053712,45.5234,-122.6762,59.41,94,90,8.05
34,Flinders,AU,1638054434,-34.5833,150.8552,60.64,81,100,11.54
35,Coxim,BR,1638054434,-18.5067,-54.76,84.16,67,100,4.34
36,Labuhan,ID,1638054435,-6.8844,112.2051,78.06,84,100,10.16
